==PROF== Connected to process 368401 (/root/python-gil0/cpython-3.14.7+freethreaded-linux-x86_64-gnu/bin/python3.14t)
==PROF== Connected to process 368789 (/root/python-gil0/cpython-3.14.7+freethreaded-linux-x86_64-gnu/bin/python3.14t)
==PROF== Disconnected from process 368789
==PROF== Disconnected from process 368401
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"0","368401","python3.14t","127.0.0.1","_gemm","1","7","(128, 1, 1)","(1, 32, 1)","0","8.0","GPU Speed Of Light Throughput","DRAM Frequency","hz","1592865994.94",
"0","368401","python3.14t","127.0.0.1","_gemm","1","7","(128, 1, 1)","(1, 32, 1)","0","8.0","GPU Speed Of Light Throughput","SM Frequency","hz","1214749035.17",
"0","368401","python3.14t","127.0.0.1","_gemm","1","7","(128, 1, 1)","(1, 32, 1)","0","8.0","GPU Speed Of Light Throughput","Elapsed Cycles","cycle","721523",
"0","368401","python3.14t","127.0.0.1","_gemm","1","7","(128, 1, 1)","(1, 32, 1)","0","8.0","GPU Speed Of Light Throughput","Memory Throughput","%","5.98",
"0","368401","python3.14t","127.0.0.1","_gemm","1","7","(128, 1, 1)","(1, 32, 1)","0","8.0","GPU Speed Of Light Throughput","DRAM Throughput","%","0.44",
"0","368401","python3.14t","127.0.0.1","_gemm","1","7","(128, 1, 1)","(1, 32, 1)","0","8.0","GPU Speed Of Light Throughput","Duration","ns","593888",
"0","368401","python3.14t","127.0.0.1","_gemm","1","7","(128, 1, 1)","(1, 32, 1)","0","8.0","GPU Speed Of Light Throughput","L1/TEX Cache Throughput","%","23.86",
"0","368401","python3.14t","127.0.0.1","_gemm","1","7","(128, 1, 1)","(1, 32, 1)","0","8.0","GPU Speed Of Light Throughput","L2 Cache Throughput","%","0.45",
"0","368401","python3.14t","127.0.0.1","_gemm","1","7","(128, 1, 1)","(1, 32, 1)","0","8.0","GPU Speed Of Light Throughput","SM Active Cycles","cycle","180771.36",
"0","368401","python3.14t","127.0.0.1","_gemm","1","7","(128, 1, 1)","(1, 32, 1)","0","8.0","GPU Speed Of Light Throughput","Compute (SM) Throughput","%","6.24",
"0","368401","python3.14t","127.0.0.1","_gemm","1","7","(128, 1, 1)","(1, 32, 1)","0","8.0","SpeedOfLight","","","","SOLBottleneck","OPT","This kernel grid is too small to fill the available resources on this device, resulting in only 0.06 full waves across all SMs. Look at Launch Statistics for more details.","",""
"0","368401","python3.14t","127.0.0.1","_gemm","1","7","(128, 1, 1)","(1, 32, 1)","0","8.0","Compute Workload Analysis","Executed Ipc Active","inst/cycle","0.86",
"0","368401","python3.14t","127.0.0.1","_gemm","1","7","(128, 1, 1)","(1, 32, 1)","0","8.0","Compute Workload Analysis","Executed Ipc Elapsed","inst/cycle","0.22",
